Studio Name,Square Footage,Address,Phone,Email,Borough,Type
Imperial Industrial Park,34680,"32 Power Dam Way, Plattsburgh, NY 12901, United States",518-569-1907,doug@imperialindustrialpark.com,Other NY,Other
Oncenter Syracuse,33810,"800 South Salina Street, Syracuse, NY 13202, United States",315-435-8022,m_spaulding@asmsyracuse.com,Other NY,Other
Freeport Recreation Center,31000,"130 East Merrick Road, Freeport, NY 11520, United States",516-377-2314,vdinielli@freeportny.gov,Other NY,Convention
MVP Arena,30000,"51 South Pearl Street, Albany, NY 12207, United States",518-487-2008,bob.belber@mvparena.com,Other NY,Convention
Haven Studios,30000,"110 Hartford Ave., Mount Vernon, NY 10553, United States",(914) 699-6230 Ext. 124,info@havenstudiosny.com,Other NY,Studio
Clinton Arena,28500,"36 Kirkland Avenue, Clinton, NY 13323, United States",315-853-5617,clintonarena@townofkirkland.org,Other NY,Convention
Mohawk Valley CC Events Center,28000,"1101 Sherman Ave., Utica, NY 13501, United States",(315) 731-5840,bdustin@mvcc.edu,Other NY,Convention
Cine Magic East River Studios,27500,"11, 29 & 33 Kent St., 8, 10, 12,18,28 & 38 Java St., Brooklyn, NY 11222, United States",(347) 557-1500,peter@eastriverstudios.com,Brooklyn,Studio
Steiner Studios,27300,"15 Washington Avenue, Brooklyn Navy Yard , Brooklyn, NY 11205, United States",(718) 858-1600,shoot@steinerstudios.com,Brooklyn,Studio
Albany Capital Center,26500,"55 Eagle Street, Albany, NY 12207, United States",518-487-2009,shannon.licygiewicz@albanycapitalcenter.com,Other NY,Convention
Hudson Sports Complex,26250,"122 State School Rd, Warwick, NY 10990, United States",917-721-2177,gabilove@me.com,Other NY,Other
Armory Studios NY,26245,"125 Washington Ave., Schenectady, NY 12305, United States",(518) 369-4887,ray@legere.ws,Other NY,Studio
Kaufman Astoria,26040,"34-12 36 Street, Astoria, NY 11106, United States",(718) 392-5600,info@kaufmanastoria.com,Queens,Other
Neyo Studios,25250,"470 Nepperhan Avenue Suite 220, Yonkers, NY 10701, United States",(914) 725-0320,victoria@gjelajmanagement.com,Other NY,Studio
Rounded Crest Farm,24000,"128 Mistover Way, Pawling, NY 12564, United States",914-419-0499,Christina@RoundedCrestFarm.com,Other NY,Other
Netflix Studio Brooklyn at Gold Coast Studios Bushwick,23680,"333 Johnson Avenue, Brooklyn, NY 11206, United States",,llaverty@goldcoaststudios.com,Brooklyn,Studio
Cine Magic LIC Studios,23500,"30-15 48th Avenue, Long Island City, NY 11101, United States",917-805-2177,peter@cinemagiclic.com,Queens,Studio
Grumman Studios at Port Washington North,23213,"101 Channel Dr, Port Washington, NY 11050, United States",(516) 576-3165,parviz@grummanstudios.com,Other NY,Studio
Newburgh Armory Unity Center,23000,"321 S. William St., Newburgh, NY 12550, United States","(845) 245-4035, ext. 11",lmartinez@newburgharmory.org,Other NY,Convention
Broadway Stages,21507,"203 Meserole Ave, Brooklyn, NY 11222, United States",(718) 349-9146,michelle@broadway-stages.com,Brooklyn,Studio
Silver Screen at Chelsea Piers,21000,"Pier 62, Suite 300, New York, NY 11101, United States",(212) 336-6755,studios@chelseapiers.com,Manhattan,Other
Choice Films at Umbra Stages,21000,"9 Scobie Drive, Newburgh, NY 12550, United States",917-207-5015,umbrastages@choicefilms.com,Other NY,Studio
"Armory at Sage, The",21000,"130 New Scotland Ave., Albany, NY 12208, United States",(518) 292-1943,diedrj@sage.edu,Other NY,Other
Lionsgate Studios,20400,"28 Wells Ave., Yonkers, NY 10701, United States",646-707-6706,co@greatpointstudios.com,Other NY,Studio
Great Point Studios Buffalo,20064,"1155 Niagara Street, Buffalo, NY 14213, United States",(646) 707-6706,co@greatpointstudios.com,Other NY,Studio
Saratoga Springs City Center,20000,"522 Broadway, Saratoga Springs, NY 12866, United States",(518) 429-6437,susanb@saratogacitycenter.org,Other NY,Convention
dStudio South,20000,"5600 McKinley Parkway, Hamburg, NY 14075, United States",(716) 853-0500,greg@dpost.com,Other NY,Studio
Drake Media Studios,19783,"270 South Service Rd, Suite 55 Studio, Melville, NY 11747, United States",(631) 756-6334,liveituptvshow@gmail.com,Other NY,Studio
RiverBridge Studios,19000,"4865 Arthur Kill Road, Staten Island , NY 10309, United States",718-640-6436,RichJr@RiverBridgeStudios.com,Staten Island,Studio
Foothills Performing Art Center & Civic Center,18304,"24 Market Street, Oneonta, NY 13820, United States",(607) 431-2080,manager@foothillspac.org,Other NY,Theater
York Studios Michaelangelo Campus,18000,"1410 Story Avenue, Bronx, NY 10473, United States",917-745-7014,johnbattista@yorkstudios.com,Bronx,Studio
Silvercup Studios,18000,"42-22 22nd Street Silvercup Studios Main Lot, Long Island City, NY 11101, United States",(718) 906-2000,LSanchez@silvercupstudios.com,Queens,Studio
Skate Time 209,18000,"5164 Route 209, Accord, NY 12404, United States",914-953-5483,sapkon@reconsider.org,Other NY,Other
GUM Studios – Industry City,18000,"4508 2nd Avenue, Brooklyn, NY 11232, United States",718-350-8694,bookings@gumstudios.nyc,Brooklyn,Studio
Silvercup Studios North,17523,"295 Locust Avenue , Bronx, NY 10454, United States",(718) 906-2000,lsanchez@silvercupstudios.com,Bronx,Studio
Manhattan Center Productions,17520,"311 West 34th Street, New York, NY 10001, United States",(212) 695-6600 ext. 212,obie@mcpstudios.com,Manhattan,Convention
Central Terminal Buffalo,17500,"495 Paderewski Drive, Buffalo, NY 14212, United States",716-892-5008,buffalo14240@aol.com,Other NY,Other
Panorama,16892,"25 Columbia Heights, Brooklyn, NY 11201, United States",323-850-3184,dvasserman@cimgroup.com,Brooklyn,Other
Silvercup Studios East,16810,"34-02 Starr Avenue Silvercup Studios East Lot, Long Island City, NY 11101, United States",(718) 906-3000,silvercup@silvercupstudios.com,Queens,Studio
Mid-Hudson Civic Center,15475,"14 Civic Center Plaza, Poughkeepsie, NY 12601, United States",845-454-5800,danielle@midhudsonciviccenter.org,Other NY,Convention
Seret Studios,15235,"67 West Street, Brooklyn, NY 11222, United States",(718) 210-3630,info@seretstudios.com,Brooklyn,Studio
Washington Avenue Armory Sport & Convention Arena,15000,"195 Washington Ave, Albany, NY 12210, United States",518-512-5203,albanyarmory@gmail.com,Other NY,Convention
Kingston Studios,14184,"323 Wall St, Kingston, NY 12401, United States",(646)  647-6547,contact@kingstonstudiosny.com,Other NY,Studio
Veterans Memorial Arena,14000,"1 Stuart Street, Binghamton, NY 13901, United States",(607) 778-6080,Christopher.marion@broomecounty.us,Other NY,Convention
SPAF,13986,"169 Ulster Ave., Saugerties, NY 12477, United States",(845) 246-7723,ericaprice@verizon.net,Other NY,Other
York Studios,13150,"34-02 Laurel Hill Boulevard, Maspeth, NY 11378, United States",(347) 774-8500,johnbattista@yorkstudios.com,Other NY,Studio
Hudson Studios at iPark Tarrytown,13000,"41 Hudson View Way, Tarrytown, NY 10591, United States",(646) 707-6706,co@greatpointstudios.com,Other NY,Studio
Kodak Center,12960,"200 West Ridge Road , Rochester, NY 14615, United States",(585) 704-2680,lori.faul@kodak.com,Other NY,Convention
West End Studios,12877,"320 West 66th Street, New York, NY 10023, United States",212-704-3815,studios@tacon.com,Manhattan,Studio
Warwick Valley BBA,12800,"28 Church Street, Warwick , NY 10990, United States",(201) 247-7975,bob@az2ny.com,Other NY,Other
Motif Studios,12500,"152 44th Street, Brooklyn, NY 11232, United States",(212) 633-1111,uri@motifstudios.com,Brooklyn,Studio
Elk Stages,12337,"717 Elk St, Buffalo, 14210, United States",716-310-8744,ggreenprod@aol.com,Other NY,Studio
15 Warren Street Stage,12262,"15 Warren Street, Albany, NY 12202, United States",443-676-193,dilovesmail@gmail.com,Other NY,Studio
Eastern Effects Inc.,12000,"99 9th Street, Brooklyn, NY 11215, United States",(718) 855-1197,studios@easterneffects.com,Brooklyn,Other
JACK Studios,11773,"155 South 5th Street, Brooklyn, NY 11211, United States",(212) 367-7590,info@jackstudios.com,Brooklyn,Studio
Eastern Hay Corporation,11640,"485 Route 22, Pawling, NY 12564, United States",814-289-1441,chris@easternhay.com,Other NY,Other
1717 Troutman,11500,"1717 Troutman Street, #300, Ridgewood, NY 11385, United States",(917) 415-3151,ravtov2@gmail.com,Other NY,Other
Willowview Hill Farm,11400,"385 Blackberry Street #22, Stamford, NY 12167, United States",607-434-4470,nikki@nikkialvinsmithstudio.com,Other NY,Other
Michelson Studio 4,11000,"55 Midland Avenue, Middletown, NY 10990, United States",(845) 537-6799,upstatemarketing2@gmail.com,Other NY,Studio
Islandia Studios,10800,"3200 Expressway Drive South, Islandia, NY 11749, United States",631-689-1985,parviz@grummanstudios.com,Other NY,Studio
Knockdown Center,10752,"52-19 Flushing Ave., Maspeth, NY 11378, United States",718-489-6285,tyler@knockdowncenter.com,Other NY,Convention
GJW Studios,10626,"11-31"
